Job Title,Salary,Experience Level
AI Product Manager,212000.0,SE
Data Engineer,231500.0,SE
Data Engineer,128500.0,SE
Data Engineer,82400.0,SE
Data Engineer,82400.0,SE
Machine Learning Engineer,250800.0,SE
Machine Learning Engineer,167200.0,SE
Machine Learning Engineer,300000.0,SE
Machine Learning Engineer,180000.0,SE
Software Engineer,252000.0,MI
Software Engineer,168000.0,MI
Data Manager,100000.0,MI
Data Manager,61933.0,MI
Data Scientist,245500.0,SE
Data Scientist,223000.0,SE
Data Scientist,203000.0,SE
Data Scientist,135000.0,SE
Data Scientist,130000.0,SE
Data Scientist,87400.0,SE
Manager,110000.0,MI
Manager,75000.0,MI
Analytics Engineer,182500.0,SE
Analytics Engineer,160000.0,SE
Engineering Manager,215000.0,SE
Engineering Manager,190000.0,SE
Infrastructure Engineer,190000.0,SE
Infrastructure Engineer,150000.0,SE
Machine Learning Engineer,300000.0,SE
Machine Learning Engineer,180000.0,SE
Machine Learning Engineer,319000.0,SE
Machine Learning Engineer,221000.0,SE
Engineer,213000.0,MI
Engineer,120000.0,MI
Software Engineer,220000.0,SE
Software Engineer,136000.0,SE
Research Engineer,440000.0,MI
Research Engineer,360000.0,MI
Software Engineer,220000.0,SE
Software Engineer,120000.0,SE
Software Engineer,230000.0,SE
Software Engineer,140000.0,SE
Backend Engineer,218400.0,SE
Backend Engineer,145600.0,SE
Research Engineer,440000.0,MI
Research Engineer,295000.0,MI
Manager,530000.0,MI
Manager,440000.0,MI
Solutions Architect,299000.0,SE
Solutions Architect,169000.0,SE
Manager,260000.0,MI
Manager,200000.0,MI
Software Engineer,250000.0,MI
Software Engineer,150000.0,MI
Engineer,215055.0,SE
Engineer,138945.0,SE
Software Engineer,175000.0,SE
Software Engineer,150000.0,SE
Fullstack Engineer,217900.0,SE
Fullstack Engineer,165500.0,SE
Engineer,176000.0,SE
Engineer,117000.0,SE
Software Engineer,405000.0,SE
Software Engineer,300000.0,SE
Manager,219000.0,SE
Manager,123000.0,SE
Software Engineer,405000.0,SE
Software Engineer,300000.0,SE
Software Engineer,207000.0,SE
Software Engineer,138000.0,SE
Software Engineer,252000.0,SE
Software Engineer,168000.0,SE
Software Engineer,252000.0,SE
Software Engineer,168000.0,SE
Business Intelligence Developer,97000.0,MI
Business Intelligence Developer,71000.0,MI
BI Analyst,81638.0,EN
BI Analyst,58250.0,EN
Data Analyst,232000.0,SE
Data Analyst,136000.0,SE
Data Analyst,125000.0,MI
Data Analyst,75000.0,MI
Data Analyst,152776.0,EN
Data Analyst,73332.0,EN
Data Analyst,177076.0,EN
Data Analyst,84996.0,EN
Data Engineer,179000.0,SE
Data Engineer,127000.0,SE
Data Scientist,175300.0,MI
Data Scientist,142020.0,MI
Software Engineer,215000.0,EN
Software Engineer,215000.0,EN
Manager,136200.0,MI
Manager,81000.0,MI
Data Analyst,100000.0,MI
Data Analyst,80000.0,MI
Data Architect,259000.0,SE
Data Architect,124300.0,SE
Associate,70000.0,MI
Associate,55000.0,MI
Data Engineer,154660.0,SE
